alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.2,M1,4307,0.8672592303184216,0.785640179280471,0.8001455229851007,0.7904159418639765,0.8662680196803916,0.8469014830690629,0.026703674215541078,0.19172377530212112,0.43356643356643354,10238.0
0.225,M0,1701,0.8661848017190857,0.7823133216852335,0.7976317446021154,0.7876583348607328,0.8650981224240017,0.8456516101500652,0.029266274075250544,0.19065750041222798,0.4166666666666667,10238.0
0.225,M0,2903,0.8693104121898808,0.7846216350844949,0.7993841938034911,0.7893522356223847,0.8679597245143034,0.8492463895664681,0.03200344907907071,0.18959252181372388,0.4233576642335766,10238.0
0.225,M0,4307,0.8692127368626685,0.7827652697104359,0.7996602683403128,0.7896764592348794,0.8677733523125913,0.8490949924762277,0.029875124207616316,0.1893937814439633,0.4117647058823529,10238.0
0.225,M1,1701,0.8680406329361203,0.7857615996756967,0.8000420286283183,0.7902171154780794,0.866882334513591,0.847789852220422,0.02942934225712612,0.18924601221043985,0.4397163120567376,10238.0
0.225,M1,2903,0.867356905645634,0.782162858994133,0.7976617003843004,0.7875918959855364,0.8660276128284956,0.846998872238296,0.02801692745917142,0.1893613457156905,0.40875912408759124,10238.0
0.225,M1,4307,0.8680406329361203,0.7864181682584873,0.8001382201833104,0.7902670638036392,0.8670260348490839,0.8477993104619913,0.028719564553934582,0.19027064552603587,0.4305555555555556,10238.0
0.25,M0,1701,0.8674545809728462,0.7835350584595803,0.7990250438326941,0.7891153819494864,0.866366704659785,0.84711276574431,0.0321327936665623,0.18941900598763584,0.4166666666666667,10238.0
0.25,M0,2903,0.870189490134792,0.7856855537949219,0.8002215136480528,0.7901768091795911,0.8688592766213173,0.8502654956542256,0.033917000121272675,0.1882557658098018,0.4233576642335766,10238.0
0.25,M0,4307,0.870482516116429,0.7830722057333307,0.7997586410231586,0.7896285902885611,0.8689708395827812,0.8505621131047169,0.03161981745895754,0.18801827407187754,0.4,10238.0
0.25,M1,1701,0.8688220355538191,0.7858357479804596,0.8001829565082268,0.790300910633679,0.8676247562981086,0.8486866674044777,0.03001302934784273,0.1878648509858909,0.425531914893617,10238.0
0.25,M1,2903,0.8683336589177574,0.7828589027070753,0.7983785228174495,0.7883101956680526,0.867029685615526,0.8481217072322819,0.03039880077482178,0.188008551019363,0.4057971014492754,10238.0
0.25,M1,4307,0.8695057628443055,0.786915195076374,0.8007424364855164,0.7908691010090575,0.8684236396162394,0.8494844688791755,0.03147613986175057,0.18896867645270146,0.4195804195804196,10238.0
0.275,M0,1701,0.8692127368626685,0.78602962874679,0.8018503740589973,0.791963632444543,0.86807664359903,0.8491245276428391,0.03541626461229485,0.18833577042029426,0.4413793103448276,10238.0
