dialect,rows,chrfpp,sacrebleu,ter,cer,wer,exact_match,number_preservation,variant,seed
NOA,249,38.269387015389256,16.153639522081022,73.89162561576354,0.548081008355757,0.7064017660044151,0.0321285140562249,1.0,M1,1701
RAN,159,31.533837295301453,13.089271675667568,74.47795823665894,0.6043393466601658,0.7858064516129032,0.050314465408805,,M1,1701
SYL,1402,43.78792907127965,19.777437985261702,72.86297376093295,0.5772424353527293,0.7458148695224027,0.0627674750356633,0.5,M1,1701
BAR,333,42.00285786280403,19.003905887152584,73.47161572052401,0.5497237569060773,0.7377521613832853,0.054054054054054,0.0,M1,2903
CHI,1706,50.41181145846443,26.611117999621893,69.18394521590261,0.515256251012583,0.6774161539988093,0.145369284876905,0.4583333333333333,M1,2903
KHU,89,34.90018230458634,12.629066887960194,73.31932773109243,0.5752614824920418,0.7872340425531915,0.0224719101123595,,M1,2903
MYM,250,54.57745094780169,30.509655359900307,50.66666666666667,0.3607970604861503,0.526431718061674,0.116,0.0,M1,2903
NAR,101,37.67513468914526,15.522000232295962,70.65217391304348,0.524873828406633,0.7362204724409449,0.0297029702970297,,M1,2903
NOA,249,39.32893623475489,17.349814532110447,67.06544686840253,0.5150828494547515,0.6909492273730684,0.036144578313253,0.0,M1,2903
RAN,159,31.5036793390804,11.59621917730369,76.45011600928075,0.6357874207703559,0.8141935483870968,0.0377358490566037,,M1,2903
SYL,1402,44.01408611677668,19.744081469797923,77.03790087463557,0.5817930855996721,0.7555391432791728,0.0613409415121255,0.4230769230769231,M1,2903
BAR,333,42.91755703131076,21.390210114979958,62.06331877729257,0.4739226519337016,0.6449567723342939,0.06006006006006,1.0,M1,4307
CHI,1706,50.12056837188016,27.90708068335142,62.66882252235115,0.4930964339075804,0.6419924588211947,0.1524032825322391,0.4583333333333333,M1,4307
KHU,89,36.40651915194665,15.93742164992966,70.58823529411765,0.5311505229649841,0.7375886524822695,0.0561797752808988,,M1,4307
MYM,250,53.6877869958016,30.99599214411205,54.80701754385965,0.3774731486715658,0.5124816446402349,0.108,1.0,M1,4307
NAR,101,37.682670337861005,14.513785035708056,68.11594202898551,0.5010814708002884,0.702755905511811,0.0396039603960396,,M1,4307
NOA,249,38.717701089352566,15.84751928787266,72.9064039408867,0.5602605863192183,0.7601177336276674,0.0522088353413654,1.0,M1,4307
RAN,159,31.806381744680163,12.84042624593243,74.36194895591647,0.5999512432959532,0.7806451612903226,0.050314465408805,,M1,4307
SYL,1402,44.36734423247052,19.932614666319143,73.76093294460642,0.5710526883343757,0.7586164451009355,0.0727532097004279,0.5,M1,4307
BAR,333,42.13203177350569,18.797094476971413,69.43231441048034,0.5427624309392265,0.7256484149855907,0.057057057057057,1.0,M2,1701
CHI,1706,48.8664155766639,24.49576006542096,76.45995815103672,0.5975589998379867,0.7537209763842032,0.1494724501758499,0.375,M2,1701
KHU,89,36.59240496313584,15.393767168511443,68.4873949579832,0.538881309686221,0.7257683215130024,0.0224719101123595,,M2,1701
MYM,250,52.93823023609225,25.750104228891335,64.70175438596492,0.5114471452798192,0.6718061674008811,0.108,1.0,M2,1701
NAR,101,37.45679157368858,15.12650567114962,69.02173913043478,0.5165825522710887,0.7106299212598425,0.0396039603960396,,M2,1701
NOA,249,41.13111214048876,18.44336255488539,66.22097114707952,0.5075768304772695,0.6865342163355408,0.0481927710843373,1.0,M2,1701
RAN,159,31.36252946454508,10.62415719283903,83.87470997679814,0.666991711360312,0.8903225806451613,0.0440251572327044,,M2,1701
SYL,1402,43.34457395525072,18.43003131295017,81.72594752186589,0.6206353656695495,0.7890201870999508,0.0620542082738944,0.5769230769230769,M2,1701
