dialect,rows,chrfpp,sacrebleu,ter,cer,wer,exact_match,number_preservation,model,split
NAR,101,41.183744199370906,11.722858672421076,70.1086956521739,0.4571016582552271,0.7204724409448819,0.0198019801980198,,Rewrite (gold-dialect oracle),validation
NOA,249,51.72722407810534,22.11281812079577,48.55735397607319,0.2792805551621583,0.506990434142752,0.0281124497991967,1.0,Rewrite (gold-dialect oracle),validation
RAN,159,30.575454778513706,7.862533766511889,77.9582366589327,0.5316918576304241,0.7806451612903226,0.0062893081761006,,Rewrite (gold-dialect oracle),validation
SYL,1402,55.34916175567324,27.773253322099517,47.63848396501458,0.2724782711842474,0.5022156573116692,0.0634807417974322,1.0,Rewrite (gold-dialect oracle),validation
BAR,491,32.620090940527874,5.797384454142699,70.71537290715372,0.4259883720930232,0.712997512437811,0.0040733197556008,,Copy (source-blind),iid_test
CHI,1879,44.18224001011521,15.545967847272568,61.56492519401552,0.3309074640220714,0.6393524283935242,0.069185737094199,1.0,Copy (source-blind),iid_test
KHU,101,30.90155338178028,3.9897045079912288,79.36210131332082,0.4898122253296045,0.8114406779661016,0.0,,Copy (source-blind),iid_test
MYM,375,55.47046036439167,22.25134680297658,43.6996336996337,0.2033406957482054,0.4414814814814815,0.016,,Copy (source-blind),iid_test
NAR,101,45.70900284127136,15.935065643019296,67.96875,0.4168875425975009,0.7200854700854701,0.0,,Copy (source-blind),iid_test
NOA,373,33.927395375842906,5.506806116269924,72.82768777614137,0.3857093305584461,0.7356664184661206,0.0,,Copy (source-blind),iid_test
RAN,127,25.8530018938106,2.758524310903812,86.89248895434463,0.5759146341463415,0.8780487804878049,0.0,,Copy (source-blind),iid_test
SYL,1586,45.41333256562029,14.21365231660324,59.37268689859363,0.3058051608965447,0.6184350517458168,0.0069356872635561,1.0,Copy (source-blind),iid_test
BAR,608,42.48160780257022,15.164331045619235,59.00592795257638,0.3609467455621302,0.6076190476190476,0.0921052631578947,,Copy (source-blind),source_ood
CHI,2096,25.31925635159164,6.581217423885287,85.39859562164395,0.5448926222363103,0.870777027027027,0.0639312977099236,,Copy (source-blind),source_ood
MYM,1384,40.73857462192337,3.0382173740806717,70.55771725032426,0.4474783415841584,0.7051448335495029,0.2485549132947976,,Copy (source-blind),source_ood
NOA,1400,41.97155129387674,7.184561863867448,69.71770744225833,0.2952439304587577,0.6971770744225834,0.175,,Copy (source-blind),source_ood
SYL,2104,42.75032285967583,11.041595205735623,62.82711724706367,0.3320864340005571,0.6384097602019352,0.2129277566539923,,Copy (source-blind),source_ood
RAJ,1387,48.64233278232496,4.912457433371705,59.00216919739696,0.3574412128712871,0.5891540130151843,0.2883922134102379,,Copy (source-blind),zero_shot_raj
BAR,491,48.27619937962764,21.28276737719105,51.20243531202435,0.3158139534883721,0.5139925373134329,0.0183299389002036,,Rewrite (gold-dialect oracle),iid_test
CHI,1879,61.18260352701419,31.60633783126966,40.89927194175534,0.2282305570054432,0.4293067662930677,0.10803618946248,1.0,Rewrite (gold-dialect oracle),iid_test
KHU,101,33.42345058076011,4.469519855956071,77.4859287054409,0.4850179784258889,0.7796610169491526,0.0,,Rewrite (gold-dialect oracle),iid_test
MYM,375,78.28604000977427,57.49907126521853,21.428571428571427,0.1033268912203202,0.2162962962962963,0.1973333333333333,,Rewrite (gold-dialect oracle),iid_test
NAR,101,44.41271901495078,10.574899051172864,70.1171875,0.4430140098447557,0.7307692307692307,0.0,,Rewrite (gold-dialect oracle),iid_test
NOA,373,50.173897313939655,19.814446533919394,52.90868924889544,0.2922650017343045,0.5349962769918094,0.032171581769437,,Rewrite (gold-dialect oracle),iid_test
RAN,127,33.90052024550425,8.913981831418553,75.9941089837997,0.5204268292682926,0.751219512195122,0.0078740157480314,,Rewrite (gold-dialect oracle),iid_test
