variant,seed,step,selected,rows,corpus_chrfpp,macro_chrfpp,worst_dialect_chrfpp,corpus_sacrebleu,macro_sacrebleu,corpus_ter,cer,wer,exact_match,chrf_signature,bleu_signature,ter_signature,replay_nll,baseline_replay_nll,replay_relative_degradation,replay_guard_pass
M0,4307,117,False,4289,44.416357536303074,40.44245752919148,31.371463214144097,21.53621090122686,18.341030906287997,73.50040924504034,0.5868385750484424,0.7457314069939255,0.0951270692469107,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.813752082604662,3.757420661728978,0.014992045327648418,True
M0,4307,156,False,4289,45.38696286214732,40.7353658779019,31.72214907793613,23.013078271177925,18.764788372373562,70.78380169154616,0.5480548516917574,0.7090379248070924,0.09722546048029844,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.806416120773792,3.757420661728978,0.013039652318904471,True
M0,4307,195,True,4289,45.47351355076692,41.03549494251952,32.733028885689805,22.53872822209489,18.662757571325084,72.81833417780723,0.5715084215233269,0.7311196847808241,0.1004896246211238,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8003873418869785,3.757420661728978,0.011435153001535081,True
M0,4307,232,False,4289,45.50725220406877,40.98277626357945,31.754896430588218,23.05008193194634,19.16111881928857,71.59839420041314,0.558473692055448,0.7159333442784436,0.10142224294707392,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.796064161894958,3.757420661728978,0.010284581803571058,True
M0,4307,39,False,4289,43.67149878726217,39.82987099845832,30.269070099606445,20.787229270071244,17.943540083142477,74.83727637681724,0.589208525860784,0.7545969463142341,0.08859874096525996,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7967079563875616,3.757420661728978,0.010455921280984715,True
M0,4307,78,False,4289,44.711249062167454,40.18438283471802,30.047362290852796,21.67470382467509,17.638784750480283,73.60174611217212,0.5779624385154271,0.7442538171072074,0.09302867801352296,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8129387901415175,3.757420661728978,0.01477559565741915,True
M1,1701,117,False,4289,45.313667852839735,42.23498299804484,30.68528110830575,21.919677375631444,19.8050910075525,74.57613906536228,0.5785884632583097,0.736701691019537,0.09559337840988576,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8410742506157494,3.77852050017331,0.016555090925024718,True
M1,1701,156,False,4289,45.69075975000552,41.597958833685794,31.651477355286744,23.013257955984667,19.587555871313068,69.71586701484975,0.5313086898196453,0.6983253981283861,0.09885754255071112,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.838514886892707,3.77852050017331,0.015877745460596282,True
M1,1701,195,True,4289,45.937957775794615,42.27770809214027,31.533837295301453,23.381991973535364,20.312906113843123,69.29882683088437,0.5318825458339543,0.6911016253488754,0.09815807880624854,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8502535744616906,3.77852050017331,0.018984434326898558,True
M1,1701,232,False,4289,46.46877594890766,42.055439841956904,31.81772193945544,24.13152320274752,20.16644058793262,66.36395525587558,0.5045908481144731,0.6766951239533738,0.09815807880624854,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8328110322938547,3.77852050017331,0.014368198377659791,True
