label_id,dialect,precision,recall,f1,support,variant,seed
4,MYM,0.8409090909090909,0.7350993377483444,0.784452296819788,302,M0,4307
5,NAR,0.8145454545454546,0.776878612716763,0.7952662721893491,865,M0,4307
6,NOA,0.8809523809523809,0.7115384615384616,0.7872340425531915,260,M0,4307
7,NSD,0.7235621521335807,0.6770833333333334,0.6995515695067265,576,M0,4307
8,RAJ,0.8947368421052632,0.7472527472527473,0.8143712574850299,91,M0,4307
9,RAN,0.790519877675841,0.7602941176470588,0.775112443778111,680,M0,4307
10,STD,0.8970338983050847,0.9404709018214128,0.9182389937106918,2251,M0,4307
11,SYL,0.8743243243243243,0.9196872778962332,0.8964322826463457,1407,M0,4307
12,TAN,0.6882845188284519,0.6339113680154143,0.6599799398194583,519,M0,4307
0,BAR,0.8459715639810427,0.864406779661017,0.8550898203592814,413,M1,1701
1,CHI,0.9488866396761132,0.9417378201908588,0.9452987143937484,1991,M1,1701
2,KHU,0.5072463768115942,0.4069767441860465,0.4516129032258064,86,M1,1701
3,KIS,0.7885117493472585,0.7578419071518193,0.7728726807421625,797,M1,1701
4,MYM,0.6951566951566952,0.8079470198675497,0.7473200612557427,302,M1,1701
5,NAR,0.8153098420413123,0.7757225433526012,0.7950236966824644,865,M1,1701
6,NOA,0.7735849056603774,0.7884615384615384,0.780952380952381,260,M1,1701
7,NSD,0.724561403508772,0.7170138888888888,0.7207678883071553,576,M1,1701
8,RAJ,0.8493150684931506,0.6813186813186813,0.7560975609756098,91,M1,1701
9,RAN,0.8288,0.7617647058823529,0.7938697318007663,680,M1,1701
10,STD,0.9059278350515464,0.9369169258107508,0.921161825726141,2251,M1,1701
11,SYL,0.8842465753424658,0.9175550817341862,0.9005929543076386,1407,M1,1701
12,TAN,0.6901960784313725,0.6782273603082851,0.6841593780369291,519,M1,1701
0,BAR,0.8063063063063063,0.8668280871670703,0.8354725787631272,413,M1,2903
1,CHI,0.958227203260316,0.9447513812154696,0.9514415781487102,1991,M1,2903
2,KHU,0.5633802816901409,0.4651162790697674,0.5095541401273885,86,M1,2903
3,KIS,0.7390272835112692,0.7816813048933501,0.7597560975609756,797,M1,2903
4,MYM,0.7770034843205574,0.7384105960264901,0.7572156196943973,302,M1,2903
5,NAR,0.7214428857715431,0.8323699421965318,0.7729468599033816,865,M1,2903
6,NOA,0.7888446215139442,0.7615384615384615,0.7749510763209393,260,M1,2903
7,NSD,0.7155963302752294,0.6770833333333334,0.695807314897413,576,M1,2903
8,RAJ,0.953125,0.6703296703296703,0.7870967741935484,91,M1,2903
9,RAN,0.7837037037037037,0.7779411764705882,0.7808118081180812,680,M1,2903
10,STD,0.9098396185522324,0.9324744557974234,0.9210179903466432,2251,M1,2903
11,SYL,0.929368029739777,0.8884150675195451,0.9084302325581396,1407,M1,2903
12,TAN,0.7370786516853932,0.6319845857418112,0.6804979253112033,519,M1,2903
0,BAR,0.8467153284671532,0.8426150121065376,0.8446601941747572,413,M1,4307
1,CHI,0.9428145201392342,0.9522852837769964,0.9475262368815592,1991,M1,4307
2,KHU,0.4157303370786517,0.4302325581395348,0.4228571428571429,86,M1,4307
3,KIS,0.7660668380462725,0.7478042659974906,0.7568253968253968,797,M1,4307
4,MYM,0.7581699346405228,0.7682119205298014,0.7631578947368421,302,M1,4307
5,NAR,0.8012048192771084,0.7687861271676301,0.7846607669616519,865,M1,4307
6,NOA,0.8244897959183674,0.7769230769230769,0.8,260,M1,4307
7,NSD,0.696969696969697,0.6788194444444444,0.6877748460861918,576,M1,4307
8,RAJ,0.7976190476190477,0.7362637362637363,0.7657142857142857,91,M1,4307
9,RAN,0.8271812080536913,0.725,0.7727272727272727,680,M1,4307
10,STD,0.8986254295532646,0.9293647267880942,0.9137366237169688,2251,M1,4307
11,SYL,0.9107142857142856,0.906183368869936,0.908443177769861,1407,M1,4307
12,TAN,0.6060100166944908,0.6994219653179191,0.6493738819320215,519,M1,4307
0,BAR,0.8364928909952607,0.8547215496368039,0.8455089820359282,413,M2,1701
1,CHI,0.9171912832929782,0.9512807634354596,0.9339250493096648,1991,M2,1701
2,KHU,0.4059405940594059,0.4767441860465116,0.4385026737967914,86,M2,1701
3,KIS,0.7301587301587301,0.7503136762860728,0.7400990099009901,797,M2,1701
4,MYM,0.7869415807560137,0.7582781456953642,0.7723440134907251,302,M2,1701
5,NAR,0.7567264573991032,0.7803468208092486,0.7683551508252704,865,M2,1701
6,NOA,0.7899159663865546,0.7230769230769231,0.7550200803212851,260,M2,1701
7,NSD,0.7225433526011561,0.6510416666666666,0.684931506849315,576,M2,1701
8,RAJ,0.8493150684931506,0.6813186813186813,0.7560975609756098,91,M2,1701
9,RAN,0.803486529318542,0.7455882352941177,0.7734553775743707,680,M2,1701
10,STD,0.9146287238772788,0.9138160817414482,0.9142222222222224,2251,M2,1701
11,SYL,0.8947001394700139,0.9118692253020612,0.90320309750088,1407,M2,1701
12,TAN,0.6785714285714286,0.6589595375722543,0.6686217008797654,519,M2,1701
