variant,true,predicted,rate
M0,SYL,RAN,0.005685856432125089
M0,SYL,STD,0.021085050935797208
M0,SYL,SYL,0.9099739398246861
M0,SYL,TAN,0.005212035062781332
M0,TAN,BAR,0.012202954399486191
M0,TAN,CHI,0.010276172125883108
M0,TAN,KHU,0.0032113037893384713
M0,TAN,KIS,0.06615285806037251
M0,TAN,MYM,0.008349389852280025
M0,TAN,NAR,0.07064868336544637
M0,TAN,NOA,0.007707129094412331
M0,TAN,NSD,0.05202312138728324
M0,TAN,RAJ,0.0032113037893384713
M0,TAN,RAN,0.04945407835581247
M0,TAN,STD,0.05394990366088632
M0,TAN,SYL,0.012845215157353885
M0,TAN,TAN,0.6499678869621066
M1,BAR,BAR,0.8579499596448747
M1,BAR,CHI,0.005649717514124294
M1,BAR,KHU,0.00887812752219532
M1,BAR,KIS,0.0032284100080710253
M1,BAR,MYM,0.02098466505246166
M1,BAR,NAR,0.024213075060532687
M1,BAR,NOA,0.012106537530266344
M1,BAR,NSD,0.011299435028248586
M1,BAR,RAJ,0.004035512510088781
M1,BAR,RAN,0.015334947538337368
M1,BAR,STD,0.020177562550443905
M1,BAR,SYL,0.005649717514124294
M1,BAR,TAN,0.01049233252623083
M1,CHI,BAR,0.0011719403984597355
M1,CHI,CHI,0.946258161727775
M1,CHI,KHU,0.0020090406830738324
M1,CHI,KIS,0.006696802276912773
M1,CHI,MYM,0.0005022601707684581
M1,CHI,NAR,0.004018081366147665
M1,CHI,NOA,0.004687761593838942
M1,CHI,NSD,0.0025113008538422904
M1,CHI,RAJ,0.00016742005692281937
M1,CHI,RAN,0.0041855014230704835
M1,CHI,STD,0.010547463586137618
M1,CHI,SYL,0.013728444667671189
M1,CHI,TAN,0.0035158211953792064
M1,KHU,BAR,0.011627906976744184
M1,KHU,CHI,0.003875968992248062
M1,KHU,KHU,0.4341085271317829
M1,KHU,KIS,0.027131782945736437
M1,KHU,MYM,0.08914728682170542
M1,KHU,NAR,0.14728682170542637
M1,KHU,NOA,0.0038759689922480615
M1,KHU,NSD,0.03875968992248061
M1,KHU,RAJ,0.0038759689922480615
M1,KHU,RAN,0.0813953488372093
M1,KHU,STD,0.11627906976744184
M1,KHU,SYL,0.011627906976744186
M1,KHU,TAN,0.031007751937984492
M1,KIS,BAR,0.005018820577164366
M1,KIS,CHI,0.009619406106231703
M1,KIS,KHU,0.002509410288582183
M1,KIS,KIS,0.7624424926808867
M1,KIS,MYM,0.011292346298619825
M1,KIS,NAR,0.02132998745294856
M1,KIS,NOA,0.009201171058134672
M1,KIS,NSD,0.07151819322459223
M1,KIS,RAJ,0.0
M1,KIS,RAN,0.014638226683396068
M1,KIS,STD,0.02509410288582183
M1,KIS,SYL,0.028439983270598074
M1,KIS,TAN,0.03889585947302384
M1,MYM,BAR,0.026490066225165563
M1,MYM,CHI,0.004415011037527594
M1,MYM,KHU,0.004415011037527594
M1,MYM,KIS,0.06622516556291391
M1,MYM,MYM,0.771523178807947
M1,MYM,NAR,0.014348785871964679
M1,MYM,NOA,0.011037527593818985
M1,MYM,NSD,0.025386313465783666
M1,MYM,RAJ,0.0
M1,MYM,RAN,0.013245033112582781
M1,MYM,STD,0.03311258278145695
M1,MYM,SYL,0.019867549668874173
M1,MYM,TAN,0.009933774834437087
M1,NAR,BAR,0.0073217726396917135
M1,NAR,CHI,0.009248554913294797
M1,NAR,KHU,0.011560693641618497
M1,NAR,KIS,0.02658959537572254
M1,NAR,MYM,0.0065510597302504804
M1,NAR,NAR,0.7922928709055875
M1,NAR,NOA,0.001541425818882466
M1,NAR,NSD,0.022736030828516374
M1,NAR,RAJ,0.0019267822736030824
M1,NAR,RAN,0.024662813102119457
M1,NAR,STD,0.050096339113680145
M1,NAR,SYL,0.005394990366088631
M1,NAR,TAN,0.040077071290944115
M1,NOA,BAR,0.01794871794871795
M1,NOA,CHI,0.1076923076923077
M1,NOA,KHU,0.006410256410256411
M1,NOA,KIS,0.007692307692307693
M1,NOA,MYM,0.019230769230769232
M1,NOA,NAR,0.011538461538461539
M1,NOA,NOA,0.7756410256410255
M1,NOA,NSD,0.007692307692307693
M1,NOA,RAJ,0.0
M1,NOA,RAN,0.011538461538461539
M1,NOA,STD,0.010256410256410256
M1,NOA,SYL,0.008974358974358975
M1,NOA,TAN,0.015384615384615385
M1,NSD,BAR,0.012152777777777776
M1,NSD,CHI,0.008680555555555554
M1,NSD,KHU,0.004050925925925926
M1,NSD,KIS,0.09143518518518517
M1,NSD,MYM,0.016782407407407406
M1,NSD,NAR,0.04050925925925925
M1,NSD,NOA,0.007523148148148147
M1,NSD,NSD,0.6909722222222222
M1,NSD,RAJ,0.0005787037037037037
M1,NSD,RAN,0.022569444444444444
M1,NSD,STD,0.020254629629629626
M1,NSD,SYL,0.029513888888888885
M1,NSD,TAN,0.05497685185185185
M1,RAJ,BAR,0.03663003663003663
M1,RAJ,CHI,0.0
M1,RAJ,KHU,0.02197802197802198
M1,RAJ,KIS,0.018315018315018316
M1,RAJ,MYM,0.02197802197802198
M1,RAJ,NAR,0.03663003663003663
M1,RAJ,NOA,0.007326007326007327
M1,RAJ,NSD,0.007326007326007327
M1,RAJ,RAJ,0.695970695970696
M1,RAJ,RAN,0.029304029304029307
M1,RAJ,STD,0.08424908424908424
M1,RAJ,SYL,0.025641025641025644
M1,RAJ,TAN,0.014652014652014654
M1,RAN,BAR,0.017647058823529415
M1,RAN,CHI,0.017647058823529415
M1,RAN,KHU,0.004411764705882353
M1,RAN,KIS,0.027941176470588237
M1,RAN,MYM,0.006372549019607844
M1,RAN,NAR,0.04313725490196078
M1,RAN,NOA,0.00784313725490196
M1,RAN,NSD,0.01911764705882353
M1,RAN,RAJ,0.004411764705882353
M1,RAN,RAN,0.7549019607843137
M1,RAN,STD,0.041176470588235294
M1,RAN,SYL,0.016176470588235296
M1,RAN,TAN,0.0392156862745098
M1,STD,BAR,0.0023693173404412855
M1,STD,CHI,0.005627128683548053
M1,STD,KHU,0.0026654820079964462
M1,STD,KIS,0.0050347993484377304
M1,STD,MYM,0.0019250703391085443
M1,STD,NAR,0.016881386050644157
M1,STD,NOA,0.0010365763364430622
M1,STD,NSD,0.003553976010661928
