candidate_id,dialect,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate
wordpiece_natural_16k,SYL,1984.0,15571.0,61976.0,166836.0,0.0,0.25124241641925904,0.09333117552566593,1.5141926870782687,19.0,0.3941532258064516,0.9904233870967742
wordpiece_natural_16k,TAN,519.0,3792.0,16576.0,44392.0,0.0,0.22876447876447875,0.0854207965399171,1.1964011404281154,16.0,1.0,1.0
wordpiece_natural_24k,BAR,739.0,4539.0,21239.0,57032.0,1.0,0.21371062667733887,0.0795868985832515,1.1648195136693107,11.0,0.7388362652232747,0.9972936400541272
wordpiece_natural_24k,CHI,3553.0,28958.0,124460.0,333974.0,0.0,0.23266913064438374,0.08670734847622869,1.3051483909829678,18.0,0.537573881227132,0.9946524064171123
wordpiece_natural_24k,KHU,158.0,920.0,3841.0,10237.0,0.0,0.23952095808383234,0.08987007912474358,1.2294253566405466,9.0,0.569620253164557,1.0
wordpiece_natural_24k,KIS,797.0,4932.0,21574.0,57984.0,0.0,0.22860851024381199,0.08505794701986755,1.2065827779513647,14.0,1.0,1.0
wordpiece_natural_24k,MYM,333.0,2069.0,9921.0,26631.0,0.0,0.2085475254510634,0.07769141226390297,1.1372618205951541,11.0,0.8078078078078078,0.996996996996997
wordpiece_natural_24k,NAR,945.0,6587.0,28545.0,76241.0,0.0,0.2307584515677001,0.08639708293437914,1.1958323456768725,15.0,0.9259259259259259,1.0
wordpiece_natural_24k,NOA,265.0,1809.0,7717.0,20667.0,0.0,0.23441751976156538,0.08753084627667296,1.2562117547023206,11.0,0.8113207547169812,1.0
wordpiece_natural_24k,NSD,576.0,4310.0,19520.0,52376.0,0.0,0.22079918032786885,0.0822895982892928,1.2033498514650265,17.0,1.0,1.0
wordpiece_natural_24k,RAJ,91.0,599.0,2671.0,7227.0,0.0,0.22426057656308498,0.0828836308288363,1.253261634580316,12.0,1.0,1.0
wordpiece_natural_24k,RAN,767.0,5210.0,22124.0,59010.0,0.0,0.2354908696438257,0.08829012031859007,1.201713518046058,15.0,0.8904823989569752,1.0
wordpiece_natural_24k,STD,126.0,786.0,3783.0,10159.0,0.0,0.20777160983346551,0.07736981986415986,1.0987130374035134,10.75,1.0,1.0
wordpiece_natural_24k,SYL,1984.0,14912.0,61976.0,166836.0,0.0,0.2406092681037821,0.08938118871226834,1.4491860307550966,18.0,0.3941532258064516,0.9904233870967742
wordpiece_natural_24k,TAN,519.0,3642.0,16576.0,44392.0,0.0,0.21971525096525096,0.08204180933501531,1.1457810012723306,15.0,1.0,1.0
wordpiece_natural_32k,BAR,739.0,4453.0,21239.0,57032.0,1.0,0.20966147182070718,0.07807897320802357,1.1424276895860115,10.0,0.7388362652232747,0.9972936400541272
wordpiece_natural_32k,CHI,3553.0,28189.0,124460.0,333974.0,0.0,0.2264904386951631,0.08440477402432525,1.2712128982557533,17.0,0.537573881227132,0.9946524064171123
wordpiece_natural_32k,KHU,158.0,902.0,3841.0,10237.0,0.0,0.23483467846914866,0.08811175148969425,1.205947357846092,9.0,0.569620253164557,1.0
