path,bytes,sha256,status
runs/task/boichitro_q1_v1/M1__base/2903/stage_id/training_report.json,824,bcbcb0ef9358b07213abb290e5d0c4d187bf2f77b6d99b61a0c01a62efccc8b6,COMPLETE
runs/task/boichitro_q1_v1/M1__base/2903/stage_s/training_report.json,804,658d4ccdb5b858b0220b736df3f92ea6f4edc296f6dc264d18a6c081c32983af,COMPLETE
runs/task/boichitro_q1_v1/M1__base/4307/stage_a/training_report.json,775,792a4e4381ccd7e51abf7c70fa92b183b51bd1c0f14830baf6e7d4452ddc0e42,COMPLETE
runs/task/boichitro_q1_v1/M1__base/4307/stage_id/training_report.json,824,651fd51c420042325f4123aee7cf76cf31baf4d46b8fab63a0b405c296fffe84,COMPLETE
runs/task/boichitro_q1_v1/M1__base/4307/stage_s/training_report.json,800,2f49092452952d1de4e30a3973c23d3871355327999dfe57e3825861d105213b,COMPLETE
runs/task/boichitro_q1_v1/M2__base/1701/stage_a/training_report.json,777,a9ec3882ab3d8f69d7ac6a78a9758a00e4b1ce9f76b759d4319870e1d992e887,COMPLETE
runs/task/boichitro_q1_v1/M2__base/1701/stage_id/training_report.json,824,ecdd45651afa93375ae5af47772adce255aedeb8bce4f383551a3db62e0f8a3b,COMPLETE
runs/task/boichitro_q1_v1/M2__base/1701/stage_s/training_report.json,801,354caaf540fcb117e82521d99293ae2519d2cd6e254f149c0a3f6d55ea8e885a,COMPLETE
runs/task/boichitro_q1_v1/M2__base/2903/stage_a/training_report.json,775,2f1abf1c118d6212dbbf0835851575b3465508bf24cff007193f1b023069eea2,COMPLETE
runs/task/boichitro_q1_v1/M2__base/2903/stage_id/training_report.json,825,5c54ed92434c17927dabbdafe11779ba33219f71183a0784b43a1fe8906a557c,COMPLETE
runs/task/boichitro_q1_v1/M2__base/2903/stage_s/training_report.json,802,f49a229bca29875b0df26a31c8365dba235146244caf806b46f28ec73e5483ab,COMPLETE
runs/task/boichitro_q1_v1/M2__base/4307/stage_a/training_report.json,776,fe076fd5c3a165b9338ea6727a4e7c9c87364bd6b03f5bcf5f7c85e1fc7c81e7,COMPLETE
runs/task/boichitro_q1_v1/M2__base/4307/stage_id/training_report.json,825,fcbba4fd3f0f5c65fc9d4f845ec63ba9b243434b2fff5ddabed3030f9573efa1,COMPLETE
runs/task/boichitro_q1_v1/M2__base/4307/stage_s/training_report.json,801,2078b8a9a799cac65326587496203384811286f2a78dc9b8eca598600450e16e,COMPLETE
runs/task/boichitro_q1_v1/M3__base/1701/stage_a/training_report.json,5371,14d5e8013ce1d05a7cd54c1a47630cb6a873488eba549ebe1f80fed85163e1f1,COMPLETE
runs/task/boichitro_q1_v1/M3__base/1701/stage_id/training_report.json,5128,d6b6a231ca19571f13925b69ccb3ce8568db69dcaff7368e5cefe5daada2453f,COMPLETE
runs/task/boichitro_q1_v1/M3__base/1701/stage_s/training_report.json,5427,459aafe402af39cf1e92b6761b07b14c63618d68974c9fe1947c786c889d1354,COMPLETE
runs/task/boichitro_q1_v1/M3__base/2903/stage_a/training_report.json,5393,672b115b2e412b34e52ba1bd2176a94201b4399a330d18706bccc85b8558069f,COMPLETE
runs/task/boichitro_q1_v1/M3__base/2903/stage_id/training_report.json,5162,70c85f5482bd77b8310aecc07f95751eeb71e314e981afda9ff7b2b75763aa77,COMPLETE
runs/task/boichitro_q1_v1/M3__base/2903/stage_s/training_report.json,5438,0e57af49fd587a3bdca9f5e210b559615b9619bcce1be5580c4049020d2573d3,COMPLETE
runs/task/boichitro_q1_v1/M3__base/4307/stage_a/training_report.json,5387,e4a06359909d85273c079c89aa8e45f6cbba648c77b10056920c7e4778b93368,COMPLETE
runs/task/boichitro_q1_v1/M3__base/4307/stage_id/training_report.json,5137,e1537ffd963e4527456107e4af599a395abef66fb134ca4383d613d6a737c9ca,COMPLETE
runs/task/boichitro_q1_v1/M3__base/4307/stage_s/training_report.json,5423,e5d69ccc49e6e6325062b67c38ab348383ab880788e3f15fb1550f16408a4f1c,COMPLETE
runs/task/boichitro_stage_s_default_pilot_v1/M0__base/1701/stage_a/training_report.json,5354,f41e5b8a88224bc045f412117a2af297fcf9b5ec940cc64449eb6ea717a69cae,COMPLETE
runs/task/boichitro_stage_s_default_pilot_v1/M0__base/1701/stage_s/training_report.json,5401,3996f9c2f5a2f3a14a144c8af273226c772be49e1d1048eba65213aaffeca95a,COMPLETE
runs/task/smoke_task_pipeline/M3__base/1701/stage_a/training_report.json,610,9aa22476e0e2822948c1d388b0e23c866658123dde884280bf5f6026042d5707,COMPLETE
runs/task/smoke_task_pipeline/M3__base/1701/stage_id/training_report.json,602,26564f453f18d5099f64673087255aaaee6b0509b15081dc3ed0366fc97aa17c,COMPLETE
runs/task/smoke_task_pipeline/M3__base/1701/stage_s/training_report.json,618,0f250d02475a2acf1a7555afb5490250a35fe118fcbc0c03b0cd6195903706b7,COMPLETE
