path,category,extension,bytes,human_size,modified,inode,hardlink_count,documentation_preservation
artifacts/tokenizers/frozen/selection_metrics.json,artifact,.json,1017,"1,017.00 B",2026-07-19T23:52:53.652789+09:00,26215293,1,copied_frozen_tokenizer_metadata
artifacts/tokenizers/frozen/selection_metrics_by_dialect.csv,artifact,.csv,2046,2.00 KiB,2026-07-19T23:52:53.652672+09:00,26215290,1,copied_frozen_tokenizer_metadata
artifacts/tokenizers/frozen/selection_metrics_by_row.parquet,artifact,.parquet,808749,789.79 KiB,2026-07-19T23:52:53.650773+09:00,26215291,1,copied_frozen_tokenizer_metadata
artifacts/tokenizers/frozen/tokenizer.json,artifact,.json,1048711,1.00 MiB,2026-07-19T23:48:36.841133+09:00,26215292,1,copied_frozen_tokenizer_metadata
artifacts/tokenizers/frozen/tokenizer_manifest.json,artifact,.json,2250,2.20 KiB,2026-07-20T00:00:39.367996+09:00,26215294,1,copied_frozen_tokenizer_metadata
cache/pretraining_smoke/shard_00000.parquet,other,.parquet,304868,297.72 KiB,2026-07-20T00:09:15.752835+09:00,26215371,1,indexed_only_not_preserved
cache/pretraining_smoke3/manifest.json,other,.json,1082,1.06 KiB,2026-07-20T00:16:24.614541+09:00,26215384,1,indexed_only_not_preserved
cache/pretraining_smoke3/shard_00000.parquet,other,.parquet,304868,297.72 KiB,2026-07-20T00:16:24.611577+09:00,26215383,1,indexed_only_not_preserved
cache/pretraining_smoke5/manifest.json,other,.json,2579,2.52 KiB,2026-07-20T00:21:52.503593+09:00,26215388,1,indexed_only_not_preserved
cache/pretraining_smoke5/shard_00000.parquet,other,.parquet,313068,305.73 KiB,2026-07-20T00:21:52.500538+09:00,26215387,1,indexed_only_not_preserved
cache/pretraining_smoke5_packed/metadata.json,other,.json,1256,1.23 KiB,2026-07-20T00:27:28.053770+09:00,26215423,1,indexed_only_not_preserved
cache/pretraining_smoke5_packed/train.uint16.bin,other,.bin,201984,197.25 KiB,2026-07-20T00:27:28.043032+09:00,26215421,1,indexed_only_not_preserved
cache/pretraining_smoke5_packed/validation.uint16.bin,other,.bin,4608,4.50 KiB,2026-07-20T00:27:28.053027+09:00,26215422,1,indexed_only_not_preserved
cache/tasks/dialect_clm_train.pt,other,.pt,26796457,25.56 MiB,2026-07-20T00:38:01.403664+09:00,26215309,1,indexed_only_not_preserved
cache/tasks/general_replay_train.pt,other,.pt,88258363,84.17 MiB,2026-07-20T01:19:32.458618+09:00,26215451,1,indexed_only_not_preserved
cache/tasks/identification_evaluation.pt,other,.pt,8532761,8.14 MiB,2026-07-20T00:37:54.756991+09:00,26215308,1,indexed_only_not_preserved
cache/tasks/identification_test_external.pt,other,.pt,657451,642.04 KiB,2026-07-20T00:37:55.980931+09:00,26215414,1,indexed_only_not_preserved
cache/tasks/identification_test_iid.pt,other,.pt,3216973,3.07 MiB,2026-07-20T00:37:55.614949+09:00,26215412,1,indexed_only_not_preserved
cache/tasks/identification_test_ood.pt,other,.pt,1781069,1.70 MiB,2026-07-20T00:37:55.859937+09:00,26215413,1,indexed_only_not_preserved
cache/tasks/identification_train.pt,other,.pt,28978171,27.64 MiB,2026-07-20T00:37:53.471055+09:00,26215307,1,indexed_only_not_preserved
cache/tasks/identification_validation.pt,other,.pt,2880601,2.75 MiB,2026-07-20T00:37:55.170971+09:00,26215296,1,indexed_only_not_preserved
cache/tasks/maps.json,other,.json,4765,4.65 KiB,2026-07-20T00:37:45.305267+09:00,26215302,1,indexed_only_not_preserved
cache/tasks/normalization_romanized_test_ood.pt,other,.pt,372163,363.44 KiB,2026-07-20T00:37:56.702895+09:00,26215081,1,indexed_only_not_preserved
cache/tasks/normalization_romanized_train.pt,other,.pt,4247601,4.05 MiB,2026-07-20T00:37:56.644898+09:00,26215415,1,indexed_only_not_preserved
cache/tasks/normalization_test_iid.pt,other,.pt,2021191,1.93 MiB,2026-07-20T00:37:48.600297+09:00,26215305,1,indexed_only_not_preserved
cache/tasks/normalization_test_ood.pt,other,.pt,3000135,2.86 MiB,2026-07-20T00:37:49.014277+09:00,26215306,1,indexed_only_not_preserved
cache/tasks/normalization_train.pt,other,.pt,15573109,14.85 MiB,2026-07-20T00:37:47.945330+09:00,26215303,1,indexed_only_not_preserved
cache/tasks/normalization_validation.pt,other,.pt,1674387,1.60 MiB,2026-07-20T00:37:48.236315+09:00,26215304,1,indexed_only_not_preserved
configs/ablation_registry.yaml,configuration,.yaml,829,829.00 B,2026-07-20T02:40:10.794151+09:00,26215531,1,copied_to_evidence_snapshot
configs/bidirectional_identification.yaml,configuration,.yaml,1595,1.56 KiB,2026-07-20T18:28:27.534889+09:00,26215532,1,copied_to_evidence_snapshot
configs/continuation_lr_pilot.yaml,configuration,.yaml,955,955.00 B,2026-07-20T05:02:16.213197+09:00,26215242,1,copied_to_evidence_snapshot
configs/continuation_m0_dense_200m.yaml,configuration,.yaml,784,784.00 B,2026-07-20T05:01:08.275528+09:00,26215401,1,copied_to_evidence_snapshot
configs/continuation_m1_switch_200m.yaml,configuration,.yaml,1021,"1,021.00 B",2026-07-20T14:35:09.945285+09:00,26215417,1,copied_to_evidence_snapshot
configs/continuation_m2_200m.yaml,configuration,.yaml,1032,1.01 KiB,2026-07-20T10:07:50.268868+09:00,26215416,1,copied_to_evidence_snapshot
configs/continuation_smoke.yaml,configuration,.yaml,784,784.00 B,2026-07-20T00:27:21.401851+09:00,26215419,1,copied_to_evidence_snapshot
configs/dataset_build.yaml,configuration,.yaml,1703,1.66 KiB,2026-07-19T23:02:58.778638+09:00,26215033,1,copied_to_evidence_snapshot
configs/experiment_registry.yaml,configuration,.yaml,18506,18.07 KiB,2026-07-22T06:12:27.461656+09:00,26215005,1,copied_to_evidence_snapshot
configs/external_locked_evaluation.yaml,configuration,.yaml,777,777.00 B,2026-07-20T02:49:23.197108+09:00,26215418,1,copied_to_evidence_snapshot
configs/external_model_baselines.yaml,configuration,.yaml,1460,1.43 KiB,2026-07-20T02:55:05.636302+09:00,26215574,1,copied_to_evidence_snapshot
configs/external_sources.yaml,configuration,.yaml,5886,5.75 KiB,2026-07-19T23:17:13.852737+09:00,26214410,1,copied_to_evidence_snapshot
configs/foundation_300m.yaml,configuration,.yaml,579,579.00 B,2026-07-20T01:07:48.902038+09:00,26215374,1,copied_to_evidence_snapshot
configs/foundation_preflight.yaml,configuration,.yaml,581,581.00 B,2026-07-20T01:20:46.239904+09:00,26215620,1,copied_to_evidence_snapshot
configs/foundation_smoke.yaml,configuration,.yaml,579,579.00 B,2026-07-20T00:27:21.400464+09:00,26215379,1,copied_to_evidence_snapshot
configs/human_evaluation.yaml,configuration,.yaml,1057,1.03 KiB,2026-07-22T05:01:57.262386+09:00,26215629,1,copied_to_evidence_snapshot
configs/inference_benchmark.yaml,configuration,.yaml,445,445.00 B,2026-07-20T01:50:44.609661+09:00,26215634,1,copied_to_evidence_snapshot
configs/locked_evaluation.yaml,configuration,.yaml,1876,1.83 KiB,2026-07-22T04:48:40.717954+09:00,26215485,1,copied_to_evidence_snapshot
configs/locked_evaluation_smoke.yaml,configuration,.yaml,909,909.00 B,2026-07-20T00:39:36.922241+09:00,26215487,1,copied_to_evidence_snapshot
configs/model/main_80m.yaml,configuration,.yaml,589,589.00 B,2026-07-19T23:58:35.188163+09:00,26215223,1,copied_to_evidence_snapshot
configs/model/smoke.yaml,configuration,.yaml,322,322.00 B,2026-07-19T23:51:20.591938+09:00,26215224,1,copied_to_evidence_snapshot
configs/native_review.yaml,configuration,.yaml,547,547.00 B,2026-07-20T03:27:07.786803+09:00,26215116,1,copied_to_evidence_snapshot
configs/optimizer_pilot.yaml,configuration,.yaml,360,360.00 B,2026-07-20T03:29:09.161447+09:00,26215232,1,copied_to_evidence_snapshot
configs/pilot_m1_aux_router_10m.yaml,configuration,.yaml,1062,1.04 KiB,2026-07-20T14:34:34.068032+09:00,26215692,1,copied_to_evidence_snapshot
configs/pilot_m1_loss_free_router_10m.yaml,configuration,.yaml,1067,1.04 KiB,2026-07-20T14:34:34.066330+09:00,26215691,1,copied_to_evidence_snapshot
configs/pilot_m2_annealed_20m.yaml,configuration,.yaml,1183,1.16 KiB,2026-07-20T10:07:10.451941+09:00,26215114,1,copied_to_evidence_snapshot
configs/pilot_m2_banked_20m.yaml,configuration,.yaml,1067,1.04 KiB,2026-07-20T09:05:04.554231+09:00,26215113,1,copied_to_evidence_snapshot
configs/pilot_m2_paired_20m.yaml,configuration,.yaml,1161,1.13 KiB,2026-07-20T10:07:10.452895+09:00,26215668,1,copied_to_evidence_snapshot
configs/pilot_m2_scratch_20m.yaml,configuration,.yaml,945,945.00 B,2026-07-20T09:05:04.555231+09:00,26215093,1,copied_to_evidence_snapshot
configs/pilot_m2_unbanked_20m.yaml,configuration,.yaml,1036,1.01 KiB,2026-07-20T09:05:04.555231+09:00,26215092,1,copied_to_evidence_snapshot
configs/pretraining_corpus.yaml,configuration,.yaml,1406,1.37 KiB,2026-07-20T00:24:28.990030+09:00,26215353,1,copied_to_evidence_snapshot
configs/robustness_evaluation.yaml,configuration,.yaml,690,690.00 B,2026-07-22T05:00:10.309088+09:00,26215525,1,copied_to_evidence_snapshot
configs/routing_analysis.yaml,configuration,.yaml,290,290.00 B,2026-07-20T01:59:08.433082+09:00,26215534,1,copied_to_evidence_snapshot
configs/stage_s_retention_pilot.yaml,configuration,.yaml,2232,2.18 KiB,2026-07-20T20:28:42.668681+09:00,26215644,1,copied_to_evidence_snapshot
configs/statistical_analysis.yaml,configuration,.yaml,971,971.00 B,2026-07-22T05:53:24.874968+09:00,26215519,1,copied_to_evidence_snapshot
configs/statistical_analysis_ablations.yaml,configuration,.yaml,2861,2.79 KiB,2026-07-22T05:53:24.878968+09:00,26215633,1,copied_to_evidence_snapshot
configs/statistical_analysis_fused.yaml,configuration,.yaml,1661,1.62 KiB,2026-07-22T05:53:24.875968+09:00,26216605,1,copied_to_evidence_snapshot
configs/statistical_analysis_specialized.yaml,configuration,.yaml,1310,1.28 KiB,2026-07-22T05:53:24.877968+09:00,26215623,1,copied_to_evidence_snapshot
configs/switch_router_selection.yaml,configuration,.yaml,629,629.00 B,2026-07-20T14:34:34.068253+09:00,26215693,1,copied_to_evidence_snapshot
configs/task_experiments.yaml,configuration,.yaml,3234,3.16 KiB,2026-07-21T03:42:45.100181+09:00,26215447,1,copied_to_evidence_snapshot
configs/task_experiments_rejected_stage_s_default.yaml,configuration,.yaml,2588,2.53 KiB,2026-07-20T20:28:42.669681+09:00,26215243,1,copied_to_evidence_snapshot
configs/task_experiments_smoke.yaml,configuration,.yaml,2120,2.07 KiB,2026-07-20T00:35:52.893533+09:00,26215408,1,copied_to_evidence_snapshot
configs/tokenizer_proxy.yaml,configuration,.yaml,473,473.00 B,2026-07-19T23:55:06.501487+09:00,26215062,1,copied_to_evidence_snapshot
